"a"	"alpha"	"s"
"1"	0.01	1	1
"2"	0.01	1.12	340
"3"	0.01	1.12	450
"4"	0.01	1.12	340
"5"	0.01	1.12	10
"6"	0.12	1.12	340
"7"	0.01	1.12	670
"8"	0.01	1.12	230
"9"	0.01	1.12	890
"10"	0.12	1.12	780
"11"	0.12	2.23	120
"12"	0.12	1.12	450
"13"	0.01	1.12	890
"14"	0.12	1.12	340
"15"	0.01	1.12	340
"16"	0.01	1.12	10
"17"	0.01	1.12	670
"18"	0.12	1.12	560
"19"	0.01	1.12	340
"20"	0.45	5.56	890
"21"	0.01	2.23	450
"22"	0.01	1.12	780
"23"	0.01	1.12	670
"24"	0.01	1.12	340
"25"	0.01	1.12	10
"26"	0.12	1.12	670
"27"	0.01	1.12	560
"28"	0.01	1.12	340
"29"	0.01	1.12	890
"30"	0.01	1.12	450
"31"	0.34	3.34	670
"32"	0.01	1.12	10
"33"	0.01	1.12	340
"34"	0.01	1.12	450
"35"	0.23	2.23	890
"36"	0.12	1.12	670
"37"	0.12	1.12	10
"38"	0.01	1.12	230
"39"	0.01	1.12	450
"40"	0.01	1.12	120
"41"	0.12	1.12	670
"42"	0.01	1.12	340
"43"	0.01	1.12	10
"44"	0.12	1.12	890
"45"	0.01	1.12	670
"46"	0.12	1.12	230
"47"	0.12	1.12	670
"48"	0.01	1.12	450
"49"	0.12	1.12	120
"50"	0.01	1.12	780
"51"	0.01	1.12	560
"52"	0.23	1.12	780
"53"	0.01	1.12	120
"54"	0.23	1.12	120
"55"	0.01	1.12	890
"56"	0.01	1.12	340
"57"	0.01	1.12	670
"58"	0.01	1.12	780
"59"	0.01	1.12	120
"60"	0.12	1.12	120
"61"	0.01	1.12	780
"62"	0.01	1.12	890
"63"	0.01	1.12	560
"64"	0.01	1.12	890
"65"	0.01	1.12	780
"66"	0.01	1.12	780
"67"	0.12	1.12	890
"68"	0.12	1.12	670
"69"	0.12	1.12	890
"70"	0.12	1.12	890
"71"	0.01	1.12	120
"72"	0.12	1.12	890
"73"	0.01	1.12	670
"74"	0.01	1.12	450
"75"	0.23	1.12	230
"76"	0.12	1.12	120
"77"	0.01	1.12	10
"78"	0.12	1.12	230
"79"	0.23	1.12	670
"80"	0.12	1.12	450
"81"	0.01	1.12	780
"82"	0.01	1.12	560
"83"	0.12	1.12	230
"84"	0.12	1.12	890
"85"	0.01	1.12	560
"86"	0.01	1.12	450
"87"	0.01	1.12	780
"88"	0.01	1.12	10
"89"	0.12	1.12	340
"90"	0.01	1.12	780
"91"	0.01	1.12	560
"92"	0.01	1.12	890
"93"	0.01	1.12	120
"94"	0.01	1.12	890
"95"	0.01	1.12	230
"96"	0.01	1.12	340
"97"	0.01	1.12	450
"98"	0.01	1.12	10
"99"	0.78	1.12	890
"100"	0.01	1.12	340
